"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",3607.79944841161
"2","member","Sunday",919.02811502333
"3","casual","Monday",3372.28692301735
"4","member","Monday",842.572569441503
"5","casual","Tuesday",3596.35994917689
"6","member","Tuesday",826.142747003117
"7","casual","Wednesday",3718.66189688179
"8","member","Wednesday",823.999644234094
"9","casual","Thursday",3705.94489925056
"10","member","Thursday",822.849228419852
"11","casual","Friday",3822.83146076958
"12","member","Friday",824.403275346623
"13","casual","Saturday",3362.63838593382
"14","member","Saturday",968.071097272226
